Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change
25,93730,30,Under 35,M,3832,3961,7793,129,0.0336638830897703
9,97124,32,Under 35,M,3845,4059,7904,214,0.0556566970091027
20,80922,40,40-44,M,3795,4157,7952,362,0.0953886693017127
46,02136,38,35-39,M,3997,4065,8062,68,0.0170127595696772
51,06119,26,Under 35,M,3979,4198,8177,219,0.0550389545111837
36,90291,23,Under 35,M,3973,4215,8188,242,0.0609111502642839
43,72712,27,Under 35,M,3979,4249,8228,270,0.0678562452877607
37,81101,29,Under 35,M,4069,4257,8326,188,0.0462029982796756
47,02451,41,40-44,M,4122,4268,8390,146,0.0354196991751576
30,14850,33,Under 35,M,4004,4392,8396,388,0.0969030969030969
44,02891,35,35-39,M,4130,4276,8406,146,0.0353510895883777
58,48864,40,40-44,M,4195,4300,8495,105,0.0250297973778307
63,02124,37,35-39,M,4120,4383,8503,263,0.0638349514563106
21,86001,28,Under 35,M,3866,4654,8520,788,0.2038282462493533
38,86001,33,Under 35,M,4144,4383,8527,239,0.0576737451737451
300,13208,40,40-44,M,4272,4263,8535,-9,-0.0021067415730337
33,14580,33,Under 35,M,4139,4425,8564,286,0.069098816139164
121,86001,30,Under 35,F,4354,4211,8565,-143,-0.0328433624253559
121,86001,30,Under 35,F,7333,8798,16131,1465,0.199781808264012
110,80305,44,40-44,F,4355,4246,8601,-109,-0.0250287026406429
110,80305,44,40-44,F,5729,6548,12277,819,0.1429568860185023
251,03038,32,Under 35,M,4323,4306,8629,-17,-0.0039324543141337
119,87111,30,Under 35,F,4354,4290,8644,-64,-0.0146991272393201
119,87111,30,Under 35,F,6649,7283,13932,634,0.0953526846142277
108,19382,28,Under 35,F,4354,4290,8644,-64,-0.0146991272393201
108,19382,28,Under 35,F,5555,6966,12521,1411,0.254005400540054
31,78725,32,Under 35,M,4138,4520,8658,382,0.0923151280811986
556,63124,24,Under 35,M,4311,4360,8671,49,0.0113662723266063
41,03865,32,Under 35,M,4051,4623,8674,572,0.1411997037768452
1671,02132,36,35-39,M,4344,4356,8700,12,0.0027624309392265
237,95003,26,Under 35,M,4334,4381,8715,47,0.0108444854637748
255,44312,28,Under 35,M,4271,4459,8730,188,0.0440177944275345
290,60440,28,Under 35,M,4246,4500,8746,254,0.0598210080075365
407,55414,24,Under 35,M,4280,4470,8750,190,0.0443925233644859
430,07003,32,Under 35,M,4320,4433,8753,113,0.0261574074074074
235,02135,30,Under 35,M,4219,4535,8754,316,0.0748992652287271
245,47304,30,Under 35,M,4351,4412,8763,61,0.014019765571133
229,90704,37,35-39,M,4250,4527,8777,277,0.0651764705882353
268,43017,31,Under 35,M,4285,4502,8787,217,0.0506417736289381
59,80503,41,40-44,M,4281,4535,8816,254,0.0593319317916374
275,75212,31,Under 35,M,4361,4458,8819,97,0.0222426049071313
309,02139,31,Under 35,M,4335,4488,8823,153,0.0352941176470588
250,48324,46,45-49,M,4270,4554,8824,284,0.0665105386416861
273,54481,35,35-39,M,4264,4570,8834,306,0.0717636022514071
117,02155,31,Under 35,F,4353,4481,8834,128,0.0294050080404318
117,02155,31,Under 35,F,6733,7199,13932,466,0.0692113470963909
1116,15632,28,Under 35,M,4355,4487,8842,132,0.0303099885189437
351,78705,27,Under 35,M,4326,4520,8846,194,0.0448451225150254
620,10024,31,Under 35,M,4423,4425,8848,2,0.0004521817770743
434,80634,25,Under 35,M,4392,4461,8853,69,0.0157103825136612
294,02142,29,Under 35,M,4326,4528,8854,202,0.0466944059177068
280,01803,37,35-39,M,4293,4565,8858,272,0.0633589564407174
429,53202,25,Under 35,M,4271,4587,8858,316,0.0739873565909623
1661,95628,34,Under 35,M,4451,4417,8868,-34,-0.0076387328690181
497,94707,30,Under 35,M,4353,4518,8871,165,0.0379048931771192
1946,06355,35,35-39,M,4345,4529,8874,184,0.0423475258918296
260,63143,35,35-39,M,4293,4583,8876,290,0.0675518285581178
296,98199,35,35-39,M,4424,4457,8881,33,0.0074593128390596
307,84097,36,35-39,M,4333,4560,8893,227,0.0523886452804061
391,60601,34,Under 35,M,4429,4472,8901,43,0.0097087378640776
118,49720,40,40-44,F,4361,4546,8907,185,0.0424214629672093
118,49720,40,40-44,F,7009,9174,16183,2165,0.3088885718362106
478,85008,23,Under 35,M,4331,4579,8910,248,0.057261602401293
830,53211,23,Under 35,M,4362,4558,8920,196,0.0449335167354424
412,98115,30,Under 35,M,4396,4524,8920,128,0.0291173794358507
663,99835,26,Under 35,M,4284,4649,8933,365,0.0852007469654528
233,94102,27,Under 35,M,4489,4445,8934,-44,-0.0098017375807529
467,15218,29,Under 35,M,4372,4573,8945,201,0.0459743824336688
1562,28115,33,Under 35,M,4362,4584,8946,222,0.0508940852819807
586,02141,32,Under 35,M,4448,4500,8948,52,0.0116906474820143
997,10023,31,Under 35,M,4414,4535,8949,121,0.0274127775260534
358,02118,34,Under 35,M,4474,4476,8950,2,0.0004470272686633
244,22901,37,35-39,M,4427,4529,8956,102,0.0230404337022814
363,98004,32,Under 35,M,4392,4567,8959,175,0.0398451730418943
465,13440,21,Under 35,M,4442,4519,8961,77,0.0173345339936965
375,02135,27,Under 35,M,4493,4472,8965,-21,-0.0046739372356999
881,80021,29,Under 35,M,4463,4503,8966,40,0.0089625812233923
264,94706,29,Under 35,M,4335,4632,8967,297,0.0685121107266436
426,98103,24,Under 35,M,4399,4569,8968,170,0.0386451466242327
872,89117,28,Under 35,M,4459,4510,8969,51,0.0114375420497869
256,02115,27,Under 35,M,4317,4655,8972,338,0.0782951123465369
4278,10003,31,Under 35,M,4455,4537,8992,82,0.0184062850729517
314,02118,29,Under 35,M,4519,4486,9005,-33,-0.0073025005532197
266,21412,23,Under 35,M,4260,4760,9020,500,0.1173708920187793
329,19707,27,Under 35,M,4173,4849,9022,676,0.1619937694704049
505,01776,28,Under 35,M,4308,4724,9032,416,0.096564531104921
2293,20005,31,Under 35,M,4435,4597,9032,162,0.0365276211950394
279,02138,25,Under 35,M,4262,4782,9044,520,0.1220084467386203
398,63123,34,Under 35,M,4497,4548,9045,51,0.0113408939292861
1041,02109,30,Under 35,M,4451,4599,9050,148,0.0332509548416086
332,05672,34,Under 35,M,4413,4647,9060,234,0.0530251529571719
325,02138,25,Under 35,M,4400,4661,9061,261,0.0593181818181818
339,97703,30,Under 35,M,4311,4757,9068,446,0.1034562746462537
348,60013,29,Under 35,M,4403,4668,9071,265,0.0601862366568248
396,22903,26,Under 35,M,4275,4801,9076,526,0.1230409356725146
684,48198,29,Under 35,M,4476,4608,9084,132,0.0294906166219839
740,20010,22,Under 35,M,4465,4621,9086,156,0.0349384098544232
979,11207,24,Under 35,M,4506,4581,9087,75,0.0166444740346205
565,44126,36,35-39,M,4357,4732,9089,375,0.0860683956851044
373,98107,40,40-44,M,4463,4628,9091,165,0.0369706475464933
417,64158,34,Under 35,M,4489,4603,9092,114,0.0253954110046781
436,60914,25,Under 35,M,4489,4603,9092,114,0.0253954110046781
1276,01609,23,Under 35,M,4541,4557,9098,16,0.0035234529839242
914,19809,31,Under 35,M,4333,4766,9099,433,0.0999307639049157
490,02111,29,Under 35,M,4419,4680,9099,261,0.0590631364562118
996,10011,30,Under 35,M,4475,4624,9099,149,0.0332960893854748
484,53711,42,40-44,M,4386,4715,9101,329,0.0750113999088007
714,80033,25,Under 35,M,4466,4637,9103,171,0.0382892969099865
460,53705,31,Under 35,M,4546,4560,9106,14,0.0030796304443466
602,01035,36,35-39,M,4345,4767,9112,422,0.0971231300345224
1016,51250,24,Under 35,M,4488,4636,9124,148,0.0329768270944741
550,78703,34,Under 35,M,4448,4677,9125,229,0.0514838129496402
310,93004,26,Under 35,M,4334,4794,9128,460,0.10613751730503
1199,78751,30,Under 35,M,4561,4567,9128,6,0.0013155009866257
257,80026,30,Under 35,M,4420,4709,9129,289,0.0653846153846153
809,01886,42,40-44,M,4550,4580,9130,30,0.0065934065934065
303,84721,28,Under 35,M,4543,4587,9130,44,0.009685230024213
999,02138,45,45-49,M,4430,4708,9138,278,0.0627539503386004
539,27284,24,Under 35,M,4497,4646,9143,149,0.0331331999110518
330,80209,29,Under 35,M,4458,4688,9146,230,0.0515926424405563
1647,01510,25,Under 35,M,4495,4660,9155,165,0.0367074527252502
1589,15217,25,Under 35,M,4638,4521,9159,-117,-0.0252263906856403
590,02134,28,Under 35,M,4450,4710,9160,260,0.0584269662921348
346,10038,28,Under 35,M,4393,4769,9162,376,0.0855907124971545
938,63118,38,35-39,M,4540,4623,9163,83,0.0182819383259911
462,94131,26,Under 35,M,4365,4805,9170,440,0.1008018327605956
366,54703,37,35-39,M,4524,4657,9181,133,0.0293987621573828
800,97405,24,Under 35,M,4431,4753,9184,322,0.0726698262243285
695,02476,32,Under 35,M,4561,4624,9185,63,0.0138127603595702
479,02114,29,Under 35,M,4379,4809,9188,430,0.0981959351450102
498,06057,27,Under 35,M,4557,4638,9195,81,0.0177748518762343
299,94559,41,40-44,M,4509,4689,9198,180,0.0399201596806387
472,49525,25,Under 35,M,4488,4710,9198,222,0.0494652406417112
45,04102,32,Under 35,M,4514,4687,9201,173,0.038325210456358
409,84790,25,Under 35,M,4480,4723,9203,243,0.0542410714285714
905,84326,28,Under 35,M,4559,4661,9220,102,0.0223733274840973
1554,94901,23,Under 35,M,4367,4860,9227,493,0.1128921456377375
1944,46220,31,Under 35,M,4515,4715,9230,200,0.044296788482835
880,55419,45,45-49,M,4656,4575,9231,-81,-0.0173969072164948
805,11238,26,Under 35,M,4540,4692,9232,152,0.0334801762114537
1015,36502,32,Under 35,M,4597,4636,9233,39,0.0084837937785512
927,49504,26,Under 35,M,4442,4793,9235,351,0.0790184601530842
604,02140,32,Under 35,M,4572,4664,9236,92,0.0201224846894138
644,91321,36,35-39,M,4502,4735,9237,233,0.0517547756552643
317,22031,26,Under 35,M,4435,4803,9238,368,0.0829763246899661
1231,93401,38,35-39,M,4338,4904,9242,566,0.1304748732134624
4070,63130,33,Under 35,M,4536,4707,9243,171,0.0376984126984126
656,02446,31,Under 35,M,4580,4667,9247,87,0.0189956331877729
450,54880,29,Under 35,M,4466,4782,9248,316,0.070756829377519
448,02140,27,Under 35,M,4552,4701,9253,149,0.0327328646748681
529,19128,30,Under 35,M,4658,4605,9263,-53,-0.0113782739373121
873,81052,24,Under 35,M,4564,4701,9265,137,0.0300175284837861
377,04294,30,Under 35,M,4569,4697,9266,128,0.0280148829065441
1502,48390,22,Under 35,M,4577,4689,9266,112,0.0244701769718156
524,21009,36,35-39,M,4413,4854,9267,441,0.0999320190346702
427,51579,25,Under 35,M,4417,4852,9269,435,0.0984831333484265
606,76904,36,35-39,M,4504,4765,9269,261,0.0579484902309058
365,60618,31,Under 35,M,4322,4949,9271,627,0.1450717260527533
666,44406,28,Under 35,M,4465,4808,9273,343,0.0768197088465845
888,90025,28,Under 35,M,4468,4806,9274,338,0.0756490599820949
439,55114,27,Under 35,M,4555,4719,9274,164,0.0360043907793633
1857,94025,25,Under 35,M,4626,4650,9276,24,0.0051880674448767
1147,37405,34,Under 35,M,4584,4692,9276,108,0.0235602094240837
608,01945,36,35-39,M,4451,4826,9277,375,0.0842507301729948
298,02118,24,Under 35,M,4318,4961,9279,643,0.1489115331171839
3583,87111,24,Under 35,M,4487,4792,9279,305,0.06797414753733
364,37209,39,35-39,M,4391,4890,9281,499,0.1136415395126394
961,02472,31,Under 35,M,4622,4667,9289,45,0.0097360450021635
326,02492,26,Under 35,M,4415,4875,9290,460,0.1041902604756511
461,07030,31,Under 35,M,4507,4785,9292,278,0.06168182826714
907,55422,23,Under 35,M,4562,4741,9303,179,0.0392371766768961
593,75223,30,Under 35,M,4515,4788,9303,273,0.0604651162790697
397,42701,46,45-49,M,4523,4784,9307,261,0.0577050630112757
486,46304,23,Under 35,M,4323,4984,9307,661,0.1529030765671987
789,43220,42,40-44,M,4601,4708,9309,107,0.0232558139534883
515,94117,33,Under 35,M,4540,4770,9310,230,0.0506607929515418
483,21228,42,40-44,M,4624,4692,9316,68,0.0147058823529411
4189,03229,37,35-39,M,4617,4699,9316,82,0.0177604505089885
1184,22902,40,40-44,M,4704,4616,9320,-88,-0.0187074829931972
354,34655,22,Under 35,M,4479,4846,9325,367,0.0819379325742353
1618,52001,24,Under 35,M,4587,4739,9326,152,0.0331371266623065
1523,20155,30,Under 35,M,4480,4850,9330,370,0.0825892857142857
636,19146,36,35-39,M,4476,4856,9332,380,0.0848972296693476
791,90403,35,35-39,M,4641,4693,9334,52,0.011204481792717
2809,29403,29,Under 35,M,4694,4640,9334,-54,-0.0115040477204942
1742,80524,37,35-39,M,4638,4700,9338,62,0.0133678309616213
1101,94611,27,Under 35,M,4603,4735,9338,132,0.0286769498153378
1234,06040,30,Under 35,M,4503,4840,9343,337,0.074838996224739
469,10036,42,40-44,M,4542,4802,9344,260,0.0572435050638485
507,02322,32,Under 35,M,4588,4758,9346,170,0.0370531822144725
1039,72023,40,40-44,M,4579,4768,9347,189,0.0412753876392225
607,02135,37,35-39,M,4585,4763,9348,178,0.0388222464558342
1121,11238,25,Under 35,M,4639,4709,9348,70,0.0150894589351153
239,02135,31,Under 35,M,4461,4887,9348,426,0.0954942837928715
1747,68503,23,Under 35,M,4658,4693,9351,35,0.0075139544869042
980,02131,32,Under 35,M,4429,4925,9354,496,0.1119891623391284
527,55401,30,Under 35,M,4469,4887,9356,418,0.0935332289102707
340,78704,36,35-39,M,4293,5063,9356,770,0.1793617516887957
662,14618,24,Under 35,M,4610,4747,9357,137,0.0297180043383947
653,80303,32,Under 35,M,4592,4768,9360,176,0.0383275261324041
3653,22903,24,Under 35,M,4723,4638,9361,-85,-0.0179970357823417
640,90405,31,Under 35,M,4567,4794,9361,227,0.049704401138603
591,91006,26,Under 35,M,4543,4820,9363,277,0.060972925379705
242,64131,28,Under 35,M,4305,5068,9373,763,0.1772357723577236
555,64111,29,Under 35,M,4531,4845,9376,314,0.0693003751931141
1384,20007,32,Under 35,M,4645,4731,9376,86,0.0185145317545748
1560,19128,25,Under 35,M,4527,4850,9377,323,0.0713496796995803
504,95032,41,40-44,M,4572,4808,9380,236,0.0516185476815398
875,16865,33,Under 35,M,4594,4787,9381,193,0.042011319111885
693,85281,24,Under 35,M,4621,4769,9390,148,0.0320276996321142
503,48105,31,Under 35,M,4597,4793,9390,196,0.0426365020665651
331,20009,27,Under 35,M,4294,5096,9390,802,0.1867722403353516
702,02446,37,35-39,M,4582,4817,9399,235,0.0512876473155827
989,20003,33,Under 35,M,4639,4761,9400,122,0.0262987712869152
1329,01876,27,Under 35,M,4693,4711,9404,18,0.003835499680375
1043,43054,27,Under 35,M,4714,4690,9404,-24,-0.0050912176495545
1165,20001,24,Under 35,M,4528,4882,9410,354,0.0781802120141342
1166,85042,24,Under 35,M,4622,4792,9414,170,0.0367806144526179
755,94941,37,35-39,M,4544,4878,9422,334,0.0735035211267605
302,13021,43,40-44,M,4458,4967,9425,509,0.114176760879318
2467,59808,31,Under 35,M,4750,4681,9431,-69,-0.0145263157894736
474,02138,28,Under 35,M,4490,4942,9432,452,0.1006681514476614
949,11385,31,Under 35,M,4656,4777,9433,121,0.025987972508591
403,02143,30,Under 35,M,4536,4897,9433,361,0.0795855379188712
566,48430,26,Under 35,M,4674,4760,9434,86,0.0183996576807873
1093,23219,37,35-39,M,4363,5076,9439,713,0.1634196653678661
634,10036,27,Under 35,M,4610,4830,9440,220,0.0477223427331887
625,53932,32,Under 35,M,4563,4877,9440,314,0.0688143765066842
1037,87114,29,Under 35,M,4560,4881,9441,321,0.0703947368421052
582,44087,28,Under 35,M,4467,4977,9444,510,0.1141705842847548
291,08084,28,Under 35,M,4375,5073,9448,698,0.1595428571428571
816,60610,25,Under 35,M,4634,4816,9450,182,0.039274924471299
797,28217,27,Under 35,M,4463,4987,9450,524,0.1174098140264396
885,46814,27,Under 35,M,4514,4937,9451,423,0.0937084625609215
2558,02120,21,Under 35,M,4560,4891,9451,331,0.0725877192982456
1505,80207,34,Under 35,M,4742,4709,9451,-33,-0.0069590889919865
725,78701,26,Under 35,M,4445,5007,9452,562,0.1264341957255343
553,02129,27,Under 35,M,4586,4867,9453,281,0.0612734409071085
378,78703,27,Under 35,M,4474,4980,9454,506,0.1130978989718372
835,95032,23,Under 35,M,4627,4827,9454,200,0.0432245515452777
1863,60614,30,Under 35,M,4685,4771,9456,86,0.0183564567769477
425,91207,38,35-39,M,4514,4947,9461,433,0.0959237926451041
2934,02114,27,Under 35,M,4577,4892,9469,315,0.0688223727332313
567,27455,30,Under 35,M,4548,4922,9470,374,0.0822339489885664
1050,62234,23,Under 35,M,4582,4888,9470,306,0.0667830641641204
559,03229,41,40-44,M,4669,4802,9471,133,0.0284857571214392
1190,21224,28,Under 35,M,4669,4806,9475,137,0.0293424716213321
546,55114,28,Under 35,M,4635,4841,9476,206,0.0444444444444444
2319,30312,28,Under 35,M,4660,4817,9477,157,0.0336909871244635
1207,80305,24,Under 35,M,4159,5321,9480,1162,0.2793940851166145
664,11217,48,45-49,M,4735,4745,9480,10,0.0021119324181626
776,80301,44,40-44,M,4647,4841,9488,194,0.0417473638906821
1135,92117,33,Under 35,M,4701,4787,9488,86,0.0182939800042544
1144,98001,38,35-39,M,4656,4833,9489,177,0.0380154639175257
387,60187,32,Under 35,M,4569,4921,9490,352,0.0770409279929962
496,01864,40,40-44,M,4599,4891,9490,292,0.0634920634920634
2273,02493,21,Under 35,M,4760,4730,9490,-30,-0.0063025210084033
3921,40204,27,Under 35,M,4691,4799,9490,108,0.0230228096354721
1433,84045,25,Under 35,M,4686,4805,9491,119,0.0253947930004268
1753,15217,23,Under 35,M,4799,4693,9492,-106,-0.0220879349864555
1797,02468,29,Under 35,M,4667,4827,9494,160,0.034283265481037
3824,33141,37,35-39,M,4760,4735,9495,-25,-0.0052521008403361
249,84057,28,Under 35,M,4299,5197,9496,898,0.2088857873924168
1686,94305,26,Under 35,M,4733,4764,9497,31,0.0065497570251426
131,02134,32,Under 35,F,4732,4767,9499,35,0.007396449704142
2360,02446,28,Under 35,M,4764,4739,9503,-25,-0.0052476910159529
2321,22201,24,Under 35,M,4697,4806,9503,109,0.0232063018948264
665,10096,35,35-39,M,4621,4883,9504,262,0.0566976844838779
3010,16804,31,Under 35,M,4649,4858,9507,209,0.0449559044955904
1260,02461,27,Under 35,M,4661,4849,9510,188,0.0403346921261531
534,01760,26,Under 35,M,4662,4850,9512,188,0.0403260403260403
416,02130,25,Under 35,M,4514,4998,9512,484,0.1072219760744351
1216,76008,31,Under 35,M,4635,4877,9512,242,0.0522114347357065
1167,84105,31,Under 35,M,4668,4846,9514,178,0.0381319622964867
671,01226,22,Under 35,M,4562,4952,9514,390,0.0854888206926786
470,85226,32,Under 35,M,4459,5056,9515,597,0.1338865216416236
1129,80841,22,Under 35,M,4714,4801,9515,87,0.0184556639796351
1223,84660,23,Under 35,M,4512,5004,9516,492,0.1090425531914893
1073,60068,32,Under 35,M,4663,4855,9518,192,0.0411752090928586
1412,80121,33,Under 35,M,4621,4897,9518,276,0.0597273317463752
585,60187,45,45-49,M,4589,4929,9518,340,0.0740902157332752
491,98103,35,35-39,M,4427,5091,9518,664,0.1499887056697537
1410,08902,42,40-44,M,4656,4864,9520,208,0.0446735395189003
2627,54914,27,Under 35,M,4730,4790,9520,60,0.0126849894291754
981,20009,35,35-39,M,4572,4948,9520,376,0.0822397200349956
1451,30076,38,35-39,M,4594,4927,9521,333,0.0724858511101436
577,35475,38,35-39,M,4664,4860,9524,196,0.0420240137221269
629,34787,41,40-44,M,4564,4960,9524,396,0.0867659947414548
289,53704,27,Under 35,M,4359,5166,9525,807,0.1851342050929112
1106,94117,28,Under 35,M,4649,4876,9525,227,0.0488277048827704
2237,19147,25,Under 35,M,4502,5028,9530,526,0.1168369613505108
2056,43103,24,Under 35,M,4837,4693,9530,-144,-0.0297705189166838
1595,98516,29,Under 35,M,4696,4834,9530,138,0.0293867120954003
3810,11226,27,Under 35,M,4727,4804,9531,77,0.0162894013116141
933,05445,25,Under 35,M,4434,5098,9532,664,0.1497519170049616
1511,33558,32,Under 35,M,4741,4791,9532,50,0.0105462982493144
521,53593,40,40-44,M,4715,4819,9534,104,0.0220572640509013
357,08053,24,Under 35,M,4355,5180,9535,825,0.1894374282433984
1152,03033,42,40-44,M,4694,4842,9536,148,0.0315296122709842
1328,06032,25,Under 35,M,4718,4823,9541,105,0.0222551928783382
1570,02127,24,Under 35,M,4443,5102,9545,659,0.1483232050416385
284,22031,28,Under 35,M,4435,5111,9546,676,0.152423900789177
711,11218,33,Under 35,M,4658,4889,9547,231,0.049592099613568
985,35186,29,Under 35,M,4474,5074,9548,600,0.1341081805990165
360,66202,28,Under 35,M,4402,5146,9548,744,0.1690140845070422
2170,37208,29,Under 35,M,4654,4894,9548,240,0.0515685431886549
735,12159,38,35-39,M,4655,4894,9549,239,0.0513426423200859
865,46580,29,Under 35,M,4511,5039,9550,528,0.1170472179117712
1932,55416,35,35-39,M,4708,4842,9550,134,0.0284621920135938
1387,05055,27,Under 35,M,4668,4883,9551,215,0.0460582690659811
2332,98367,27,Under 35,M,4574,4977,9551,403,0.0881066899868823
674,37211,25,Under 35,M,4582,4971,9553,389,0.0848974247053688
698,66762,38,35-39,M,4700,4854,9554,154,0.0327659574468085
376,27534,26,Under 35,M,4436,5118,9554,682,0.1537421100090171
1179,15212,30,Under 35,M,4598,4958,9556,360,0.078294910830796
1492,89411,41,40-44,M,4759,4798,9557,39,0.0081949989493591
958,01520,44,40-44,M,4718,4840,9558,122,0.0258584145824501
2076,24060,27,Under 35,M,4684,4874,9558,190,0.0405636208368915
4295,33141,28,Under 35,M,4723,4838,9561,115,0.0243489307643446
2397,02492,31,Under 35,M,4660,4903,9563,243,0.0521459227467811
1442,99517,29,Under 35,M,4600,4967,9567,367,0.0797826086956521
1197,64119,20,Under 35,M,4648,4919,9567,271,0.0583046471600688
1192,64068,32,Under 35,M,4502,5069,9571,567,0.125944024877832
992,60564,23,Under 35,M,4377,5194,9571,817,0.1866575279872058
611,02130,37,35-39,M,4560,5015,9575,455,0.0997807017543859
2059,97008,26,Under 35,M,4667,4908,9575,241,0.051639168630812
944,15367,33,Under 35,M,4785,4794,9579,9,0.0018808777429467
2580,80305,32,Under 35,M,4718,4862,9580,144,0.0305214073760067
1584,28803,40,40-44,M,4688,4892,9580,204,0.0435153583617747
535,20001,24,Under 35,M,4540,5042,9582,502,0.1105726872246696
1126,80919,42,40-44,M,4768,4815,9583,47,0.0098573825503355
904,01075,36,35-39,M,4582,5004,9586,422,0.092099519860323
4574,91342,25,Under 35,M,4901,4685,9586,-216,-0.0440726382370944
3878,20601,20,Under 35,M,4608,4981,9589,373,0.0809461805555555
601,35222,35,35-39,M,4581,5009,9590,428,0.0934293822309539
1582,22203,25,Under 35,M,4576,5015,9591,439,0.0959353146853146
1926,56001,24,Under 35,M,4823,4768,9591,-55,-0.0114036906489736
615,01351,35,35-39,M,4542,5054,9596,512,0.1127256715103478
919,89146,53,50-54,M,4722,4875,9597,153,0.0324015247776365
1885,56308,42,40-44,M,4714,4884,9598,170,0.0360627916843445
5287,94024,37,35-39,M,4857,4741,9598,-116,-0.0238830553839818
757,48309,25,Under 35,M,4794,4806,9600,12,0.0025031289111389
247,60540,27,Under 35,M,4432,5168,9600,736,0.1660649819494584
675,80918,27,Under 35,M,4635,4969,9604,334,0.0720604099244875
1458,48167,20,Under 35,M,4591,5014,9605,423,0.0921367893705075
953,94115,39,35-39,M,4736,4872,9608,136,0.0287162162162162
1634,46140,18,Under 35,M,4670,4940,9610,270,0.0578158458244111
2140,10024,26,Under 35,M,4831,4779,9610,-52,-0.0107638170151107
1777,02356,28,Under 35,M,4669,4950,9619,281,0.0601841936174769
506,96019,29,Under 35,M,4600,5020,9620,420,0.0913043478260869
600,60654,30,Under 35,M,4835,4787,9622,-48,-0.0099276111685625
138,02478,37,35-39,F,4753,4871,9624,118,0.024826425415527
4131,21204,20,Under 35,M,4765,4861,9626,96,0.0201469045120671
867,02301,34,Under 35,M,4243,5385,9628,1142,0.2691491868960641
136,98367,24,Under 35,F,4679,4949,9628,270,0.0577046377431075
1075,22314,39,35-39,M,4630,4999,9629,369,0.0796976241900647
2444,10010,25,Under 35,M,4796,4838,9634,42,0.0087572977481234
353,02053,26,Under 35,M,4423,5211,9634,788,0.1781596201673072
569,45140,24,Under 35,M,4563,5075,9638,512,0.1122068814376506
676,23220,26,Under 35,M,4646,4993,9639,347,0.074687903572966
1221,84095,45,45-49,M,4852,4787,9639,-65,-0.013396537510305
394,80234,34,Under 35,M,4553,5088,9641,535,0.1175049417966176
435,02215,28,Under 35,M,4409,5237,9646,828,0.1877976865502381
1293,80134,39,35-39,M,4820,4827,9647,7,0.0014522821576763
404,44130,34,Under 35,M,4602,5050,9652,448,0.0973489787049109
3566,20009,29,Under 35,M,4780,4874,9654,94,0.0196652719665271
401,10009,26,Under 35,M,4503,5151,9654,648,0.1439040639573617
2173,98012,24,Under 35,M,4877,4780,9657,-97,-0.0198892761943817
1782,70808,28,Under 35,M,4799,4858,9657,59,0.0122942279641592
837,48103,40,40-44,M,4623,5034,9657,411,0.0889033095392602
850,02135,29,Under 35,M,4695,4963,9658,268,0.0570820021299254
687,27701,27,Under 35,M,4709,4949,9658,240,0.050966234869399
746,07027,30,Under 35,M,4663,4998,9661,335,0.0718421616984773
1496,34202,39,35-39,M,4737,4924,9661,187,0.0394764618957145
447,45209,31,Under 35,M,4640,5023,9663,383,0.0825431034482758
920,46250,40,40-44,M,4788,4875,9663,87,0.0181704260651629
965,20175,38,35-39,M,4553,5111,9664,558,0.122556556116846
285,97232,42,40-44,M,4573,5092,9665,519,0.1134922370435163
563,02116,33,Under 35,M,4580,5087,9667,507,0.1106986899563318
6548,11231,35,35-39,M,4789,4880,9669,91,0.0190018793067446
1579,55413,32,Under 35,M,4667,5003,9670,336,0.0719948575101778
771,48310,32,Under 35,M,4595,5076,9671,481,0.1046789989118607
3286,44281,25,Under 35,M,4682,4989,9671,307,0.0655702691157625
616,48867,25,Under 35,M,4752,4919,9671,167,0.0351430976430976
1342,87375,23,Under 35,M,4773,4900,9673,127,0.0266080033521893
1800,80110,39,35-39,M,4775,4899,9674,124,0.0259685863874345
726,10019,32,Under 35,M,4621,5055,9676,434,0.0939190651374161
943,48309,23,Under 35,M,4795,4881,9676,86,0.0179353493222106
1386,91107,34,Under 35,M,4718,4963,9681,245,0.0519287833827893
828,02138,22,Under 35,M,4653,5028,9681,375,0.0805931656995486
437,48912,25,Under 35,M,4498,5185,9683,687,0.1527345486883059
